Spectral Type,(V-R)0,(V-I)0,(V-J)0,(V-H)0,(V-K)0,(V-L)0,(V-M)0,(V-N)0
O9,-0.19,-0.41,-0.57,-0.75,-0.84,-0.78,-0.99,-0.65
O9.5,-0.18,-0.39,-0.55,-0.73,-0.82,-0.75,-0.95,-0.63
B0,-0.17,-0.37,-0.53,-0.7,-0.78,-0.71,-0.9,-0.59
B0.5,-0.16,-0.35,-0.5,-0.66,-0.75,-0.67,-0.84,-0.55
B1,-0.15,-0.32,-0.47,-0.62,-0.7,-0.61,-0.77,-0.5
B1.5,-0.14,-0.3,-0.45,-0.59,-0.67,-0.58,-0.73,-0.47
B2,-0.14,-0.29,-0.43,-0.56,-0.63,-0.55,-0.68,-0.44
B3,-0.11,-0.25,-0.37,-0.49,-0.54,-0.45,-0.57,-0.35
B4,-0.09,-0.22,-0.33,-0.42,-0.48,-0.38,-0.48,-0.28
B5,-0.07,-0.19,-0.28,-0.34,-0.39,-0.3,-0.38,-0.19
B6,-0.06,-0.17,-0.24,-0.3,-0.34,-0.25,-0.32,-0.14
B7,-0.04,-0.14,-0.2,-0.24,-0.27,-0.18,-0.24,-0.06
B7.5,-0.03,-0.13,-0.17,-0.2,-0.22,-0.14,-0.19,-0.02
B8,-0.01,-0.1,-0.12,-0.14,-0.15,-0.07,-0.11,0.05
B9,0.02,-0.03,-0.04,-0.03,-0.02,0.06,0.03,0.19
B9.5,0.04,0,-0.01,0.01,0.03,0.11,0.08,0.23
A0,0.05,0.03,0.02,0.06,0.08,0.15,0.13,0.29
A1,0.08,0.08,0.09,0.14,0.18,0.25,0.23,0.39
A2,0.09,0.1,0.11,0.17,0.21,0.28,0.27,0.43
A5,0.13,0.18,0.2,0.29,0.35,0.41,0.41,0.57
F0,0.2,0.31,0.36,0.51,0.6,0.64,0.65,0.82
F2,0.24,0.37,0.44,0.62,0.73,0.77,0.77,0.95
F5,0.29,0.47,0.57,0.79,0.91,0.95,0.96,1.15
F8,0.43,0.7,0.87,1.17,1.34,1.35,1.36,1.58
G0,0.55,0.9,1.14,1.52,1.71,1.72,1.72,1.98
G2,0.65,1.06,1.35,1.8,1.99,2.01,1.99,2.28
G3,0.68,1.12,1.43,1.9,2.09,2.11,2.09,2.38
G3.5,0.7,1.16,1.47,1.95,2.15,2.17,2.14,2.44
G4,0.72,1.19,1.52,2.01,2.2,2.23,2.2,2.5
G5,0.77,1.26,1.61,2.13,2.32,2.35,2.31,2.63
G8,0.87,1.43,1.83,2.41,2.59,2.64,2.58,2.91
K0,0.95,1.59,2.01,2.64,2.8,2.87,2.79,3.14
K1,0.99,1.68,2.11,2.76,2.91,3,2.9,3.26
K2,1.03,1.76,2.2,2.87,3.01,3.12,3.01,3.38
K3,1.13,1.96,2.41,3.14,3.25,3.39,3.25,3.63
K3.5,1.16,2.04,2.5,3.25,3.34,3.5,3.35,3.74
K4,1.2,2.13,2.59,3.37,3.44,3.62,3.46,3.84
K5,1.27,2.27,2.74,3.55,3.59,3.8,3.62,4.01
M0,1.42,2.59,3.07,3.97,3.92,4.22,3.99,4.38
M0.5,1.46,2.68,3.16,4.08,4.01,4.33,4.09,4.48
M1,1.5,2.77,3.25,4.2,4.1,4.45,4.19,4.58
M1.5,1.54,2.87,3.35,4.32,4.19,4.57,4.29,4.69
M2,1.58,2.97,3.45,4.45,4.28,4.7,4.4,4.8
M2.5,1.7,3.24,3.73,4.79,4.53,5.04,4.69,5.07
M3,1.83,3.55,4.03,5.16,4.79,5.41,5.01,5.37
M3.5,1.95,3.86,4.32,5.53,5.03,5.77,5.31,5.65
M4,2.09,4.2,4.65,5.93,5.29,6.17,5.64,5.95
M5,2.34,4.85,5.26,6.68,5.73,6.9,6.25,6.47